PeriMac_YF1	PeriMac_YF2	PeriMac_YF3	PeriMac_YF4	PeriMac_YF5	PeriMac_OF1	PeriMac_OF2	PeriMac_OF3	PeriMac_OF4	PeriMac_OF5	PeriMac_YM1	PeriMac_YM2	PeriMac_YM3	PeriMac_YM4	PeriMac_YM5	PeriMac_OM1	PeriMac_OM2	PeriMac_OM3	PeriMac_OM4	PeriMac_OM5
Gsta3	5.58690194766628	5.8488999144761	5.90816635763159	5.82318161652906	5.79441787678441	5.97280457931957	6.15485893957113	6.04151190515647	6.12716872867245	5.8594377973041	5.91128855206262	6.07534268819207	5.8092066567773	6.12714849036917	5.77737309178587	5.86268800070809	6.02913976748817	7.31831403177329	5.95215335263379	5.9707620581505
Mir30c-2	5.85595039321479	5.95691741129029	5.58690194766628	5.9952434637148	5.94571450846615	6.01803556061061	6.0885034522782	6.04151190515647	6.19007173517113	6.0168669661997	5.91128855206262	5.98634252376392	5.8092066567773	5.58690194766628	6.05178410915325	5.86268800070809	6.1784003683704	6.03335056490284	6.14287716993903	5.58690194766628
Ogfrl1	9.90252046686509	9.80262816147386	10.0990991117142	10.4197014937918	9.94009174728957	9.60068314515979	9.87338854120268	10.0031575250671	9.85961162768814	9.82406987763691	9.44876402775832	9.48541903173999	9.5910049121975	9.69663962164186	9.949845334046	9.30682898549638	9.61666681432541	8.63124072266525	9.60298427964639	9.3605798880117
B3gat2	6.26750899071499	6.34311395753073	6.29949044659639	6.25009421815802	6.52221334202541	6.22357948622313	6.31705769125264	6.42892043834819	6.24669903791537	6.24962648017236	6.35173610781217	6.30196411057745	6.40837090042695	6.53666095533581	6.50511742916913	6.1688698348565	6.32183555137812	6.21580645767118	6.21622542951585	6.31631443621353
Smap1	9.62376286221191	9.70403178083674	9.67255177380803	9.70344825735832	9.76400566291464	9.64202562461218	9.78127758494121	9.68787255252725	9.71152991285505	9.64128559120867	9.67605120506261	9.71041936321189	9.74363248616632	9.62133925327788	9.73165059065852	9.63852143813997	9.64163664233594	9.9241689106129	9.55409167345258	9.71936083025633
Sdhaf4	7.21398456284992	7.37936353692422	7.06527915455587	7.28808127755075	7.16812045396982	7.30862645317505	7.02674170400038	7.1267137380737	7.28883344687812	7.2331151261601	7.0785497679252	7.25120911111997	7.01999235430101	7.15397128813211	7.06933685981108	7.29633761334187	7.24728343866115	7.59765910384182	7.11133549488334	7.22003913015188
Fam135a	9.38668790037225	9.02253900449851	9.22798609403636	8.9876546180559	9.20528910102868	8.97004498166023	9.1069511823095	9.35408289263043	9.22964763279431	9.16439991380241	8.8948749867778	9.07575303582414	8.85775490747855	8.89999315802582	9.07649304081899	8.97668298580143	9.09804941998678	9.24853543400742	9.18627212924826	8.76997238622262
Lmbrd1	10.5900464689009	10.5171879529962	10.5582620065814	10.8799465697529	10.7486236053561	10.3784923170984	10.5942825271752	10.5871119783198	10.6097144119516	10.6904340526936	10.2916256433072	10.5327492069611	10.5768715695152	10.5022421429557	10.6146642409398	10.3504512075723	10.3946400767944	10.820017033917	10.5858252052788	10.3685380055313
4931408C20Rik	5.58690194766628	5.58690194766628	5.81430436538376	5.82318161652906	5.79441787678441	5.58690194766628	5.91621826351657	5.81491115085135	6.05546336976609	6.0168669661997	6.08103626478578	5.86979865488352	5.97118896018585	5.58690194766628	6.01158280038531	5.78206035948981	5.58690194766628	5.58690194766628	5.95215335263379	5.9707620581505
Phf3	11.4561021151634	11.5960012646144	11.5953383961913	11.79436343815	11.7244109556343	11.3413867303877	11.5204301543795	11.4998645040146	11.5328486357145	11.6418077713772	11.35314876818	11.4979387750275	11.5195241954246	11.5682826204994	11.701585002993	11.3307864899953	11.3834875731275	11.68113694189	11.4938046337822	11.4253456990929
Ptp4a1	6.59241729482043	6.68839741183806	6.56056840584471	6.69396404911285	6.60417092517234	6.53726067899098	6.73125665613481	6.61120875849139	6.39157485728008	6.60497541104393	6.6102665048269	6.70935079208844	6.53946702324099	6.76868168919238	6.59286237251203	6.80130627013635	6.66698071181919	6.9902545413594	6.62177957965307	6.86017623667209
Prim2	8.10595210008869	8.40457022358812	7.98495316426247	7.90854468689792	8.1140577375337	8.49357209634857	7.94275551579763	7.9902044607	8.08618253804599	8.0572969776901	8.48756475713192	8.40779678669804	8.0922786482423	8.32543024268922	8.15143029589297	8.47797695191436	8.510666944641	8.05826923546178	8.24941551068977	8.66705856585195
