baseMean_F	log2FoldChange_F	lfcSE_F	stat_F	pvalue_F	padj_F	baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Rnf149	959.783678325299	0.000602819339251375	0.00557694165583901	0.108091383495151	0.913923203082335	0.991237894840908	1024.96595277103	0.0132728781291927	0.00571155819158982	2.32386289064458	0.0201328437357726	0.205858949810704
Map4k4	2348.30463448777	-0.00787446725428631	0.00426878538056892	-1.84466225220178	0.0650866851877338	0.519085500509024	2564.08290797501	-0.00433387359046719	0.00729479125497321	-0.594105223711862	0.55244173727193	0.82169358139857
Il1r1	24.746069931048	-0.11151944313099	0.022388245680214	-4.98116041443779	6.32041185116413e-07	9.97501443710392e-05	22.8865281993965	-0.0892892998004539	0.0185100821691879	-4.82381974236106	1.40834706698292e-06	0.000394837924379035
Il1rl1	156.448346347066	-0.0288643742130856	0.0144443987475643	-1.99830915204781	0.0456831539045209	0.445968053649357	166.124694865104	-0.00511332902278565	0.0227095951067129	-0.225161611149737	0.821853552516343	0.943887884708084
Il18r1	15.0472624376343	-0.0264397591704374	0.0303200410595981	-0.872022538441374	0.383196082102151	0.90219080891413	35.8402872813645	0.152270637815858	0.0673066476682486	2.26234173133081	0.0236762979801597	0.223077054008734
Mfsd9	78.8392106556195	0.00975808467526233	0.0120844643635719	0.807490045208593	0.419384207514261	0.916160844847173	91.4720894581471	0.0168292682726135	0.0101074962763948	1.66502839203778	0.0959070915351625	0.411552335648847
Mrps9	507.191339733664	0.000843836288851841	0.00493131083980996	0.171118048783224	0.864130944307346	0.989581340083977	565.774730237862	-0.000431632743153008	0.0047755165395612	-0.0903845143404462	0.927981662087981	0.982269097043847
Tgfbrap1	861.619237434508	-0.000154522300708837	0.00452189401360311	-0.0341720306234491	0.972739969839438	0.997206719928093	918.883235586563	-0.000558685119402721	0.00435102205980668	-0.128403191646319	0.897829905498287	0.971526038919838
AI597479	221.595875157006	-0.00204153558060809	0.00642667082374966	-0.317666119301401	0.750738213834399	0.982614019067995	230.064494072376	0.000793009636734699	0.00641627579915172	0.123593446036023	0.901637182003988	0.972322970491836
Nck2	593.610136063992	0.00158607382079687	0.00731694969961515	0.216767079986937	0.828389868328826	0.988066129844861	579.289785226765	-0.0112383012556763	0.00879224098337255	-1.27820669120985	0.201176557472005	0.551687983432533
Uxs1	862.688586219432	0.00270718195884086	0.00413076561496695	0.655370507838053	0.51222923496054	0.943819006238706	1001.16846506212	0.0122026203846518	0.00856699296234909	1.42437614204667	0.154337616747328	0.495823919558123
Tpp2	2969.26508504685	0.00275579119462786	0.00478675608705808	0.575711639470971	0.564810106660814	0.953225697303159	3231.53520989434	-0.00902056441592376	0.00449784769374609	-2.00552909527509	0.0449065134873289	0.297936922532585
Tex30	64.3509269222714	-0.0134412887876217	0.0118272867127043	-1.13646427233253	0.255762309984467	0.819500981506738	70.9477939674837	-0.017348959468461	0.0131581094708737	-1.31849940197443	0.187336525115313	0.5365352101827
Kdelc1	158.297978289187	-0.0112938552607083	0.00856825346905277	-1.31810471077916	0.187468597768124	0.763882763299032	168.13840718027	0.000745742357424357	0.00744900105380777	0.100113069126651	0.92025455979789	0.979585254298325
Bivm	175.611649569539	-0.00268560411742518	0.0078390195076915	-0.342594391401899	0.731903622017927	0.980733340279892	183.728971986027	-0.00894117154457611	0.00936935536643545	-0.954299543019442	0.339932039299163	0.676859628756036
Ercc5	415.399121796001	-0.00677728697727554	0.00564248393984982	-1.20111763711213	0.229705572392519	0.804690267417504	383.444368508664	-0.0133006947394532	0.00767774435365303	-1.7323700981428	0.0832076884052343	0.389985163857587
Col3a1	25.1249668065273	0.0562422656483091	0.0271295718226239	2.07309816815493	0.0381631444644087	0.409444665250883	21.8195026445389	0.0815419346299018	0.0421478122873117	1.9346658866669	0.0530313091163239	0.321458804946363
Wdr75	243.048976462301	0.00161803868566831	0.0104109748302448	0.155416636006819	0.876492869878818	0.991237894840908	281.277431653664	-0.0046879172069969	0.0097336590362585	-0.481619213240788	0.630076474897679	0.864229729993117
Slc39a10	462.102390814075	-0.0130089888256	0.00520389372544258	-2.49985674419084	0.0124243536126828	0.228131080061581	505.937581506332	-0.0154767470658614	0.00894594910594206	-1.73002851710631	0.0836251803370272	0.390293213664403
Sdpr	7.98545151754497	0.0454154076806075	0.03081355135533	1.47387774803672	0.140514509999557	0.695182201335319	5.15044819552352	0.0312779044375597	0.0427879068486179	0.730998703634178	0.464779944768873	0.770110143019359
