baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Hspe1	231.44499739895	-0.00273249320113622	0.00717990162627199	-0.380575298014912	0.703518413670975	0.896549045341798
Mob4	256.244360902023	-0.0117823758966106	0.00898159398150595	-1.31183572992408	0.189575566510353	0.540249683102464
Rftn2	30.2556092712322	0.00718762463874362	0.0167207296862902	0.429863096503316	0.667295231449305	0.881350759870246
Mars2	82.7144650677652	-0.0201427509575975	0.010435081538841	-1.93029166879273	0.0535707087466652	0.32229263278946
Plcl1	61.7263593434221	0.0125915424371397	0.0316893926919159	0.39734249752132	NA	NA
Satb2	67.5074212935631	-0.00277621093981411	0.0148032924155822	-0.187540099990987	0.851237186143426	0.953687556216959
9130024F11Rik	4.47624774750968	-0.0276738290801154	0.0394516221483391	-0.701462387935816	0.483014499287496	NA
4930558J18Rik	3.88569866226752	-0.018604847299359	0.0436487373147977	-0.426240217790943	0.669932814599139	NA
1700066M21Rik	79.4559423938745	-0.0107184710272886	0.00945363005011331	-1.13379421137388	0.256880879709864	0.606325384175798
Tyw5	75.9141874618904	-0.00203766295555155	0.0103747919790206	-0.196405186694056	0.844293036928667	0.951375576446236
9430016H08Rik	98.8816997100838	0.00841852556270992	0.0121683400356244	0.691838454387665	0.489038784469302	0.783853805725412
Kctd18	210.885784320079	-0.0107214940605944	0.0070406288354503	-1.52280347553767	0.127807880197661	0.462542804524868
Sgol2a	148.457606819376	0.00766663134579835	0.0211515019572179	0.362462739587254	0.717006262691363	0.900661707461334
Aox1	9.46041849274069	-0.0319781616540552	0.0349399862992816	-0.9152310873892	0.360070327755626	0.695338627730748
Aox3	1.97370767506862	0.0713823612959562	0.0643156993078776	1.10987460393225	0.2670530654586	NA
Bzw1	1905.23289970958	-0.0016239191677764	0.00624267556881397	-0.260131917777192	0.794762018356289	0.932978284505717
Clk1	3367.13550164385	-0.0219642733122172	0.00697397441762967	-3.14946284527417	0.00163570906483307	0.0539807828458811
