baseMean_F	log2FoldChange_F	lfcSE_F	stat_F	pvalue_F	padj_F
Slc9a4	7.57430054279059	-0.0390985807848515	0.0334706764345065	-1.1681443266125	0.2427485529065	0.808710013280658
Mfsd9	78.8392106556195	0.00975808467526233	0.0120844643635719	0.807490045208593	0.419384207514261	0.916160844847173
Mrps9	507.191339733664	0.000843836288851841	0.00493131083980996	0.171118048783224	0.864130944307346	0.989581340083977
Tgfbrap1	861.619237434508	-0.000154522300708837	0.00452189401360311	-0.0341720306234491	0.972739969839438	0.997206719928093
AI597479	221.595875157006	-0.00204153558060809	0.00642667082374966	-0.317666119301401	0.750738213834399	0.982614019067995
Nck2	593.610136063992	0.00158607382079687	0.00731694969961515	0.216767079986937	0.828389868328826	0.988066129844861
Uxs1	862.688586219432	0.00270718195884086	0.00413076561496695	0.655370507838053	0.51222923496054	0.943819006238706
Tpp2	2969.26508504685	0.00275579119462786	0.00478675608705808	0.575711639470971	0.564810106660814	0.953225697303159
Mettl21c	0.966287782593431	0.012640827890059	0.0798557030616647	0.158295868740867	0.874223663368749	NA
Tex30	64.3509269222714	-0.0134412887876217	0.0118272867127043	-1.13646427233253	0.255762309984467	0.819500981506738
Kdelc1	158.297978289187	-0.0112938552607083	0.00856825346905277	-1.31810471077916	0.187468597768124	0.763882763299032
Bivm	175.611649569539	-0.00268560411742518	0.0078390195076915	-0.342594391401899	0.731903622017927	0.980733340279892
Ercc5	415.399121796001	-0.00677728697727554	0.00564248393984982	-1.20111763711213	0.229705572392519	0.804690267417504
Col3a1	25.1249668065273	0.0562422656483091	0.0271295718226239	2.07309816815493	0.0381631444644087	0.409444665250883
Col5a2	2.56393365496945	0.0309164316589285	0.0514133655201808	0.601330633506052	0.547619790025791	0.95129684354584
Wdr75	243.048976462301	0.00161803868566831	0.0104109748302448	0.155416636006819	0.876492869878818	0.991237894840908
Slc39a10	462.102390814075	-0.0130089888256	0.00520389372544258	-2.49985674419084	0.0124243536126828	0.228131080061581
Sdpr	7.98545151754497	0.0454154076806075	0.03081355135533	1.47387774803672	0.140514509999557	0.695182201335319
Nabp1	897.264829982927	0.0055887707630988	0.00627113607180058	0.891189522777193	0.372827504234893	0.897416947759224
Myo1b	278.30433726215	-0.0202987863555373	0.0119304951131191	-1.70142028164583	0.0888640955073662	0.591483417332066
Stat4	815.941143827171	-0.0130940893144493	0.00870887639822963	-1.50353371843825	0.132701468684345	0.682298721192641
Stat1	5122.23472111512	0.0243517615498489	0.0342573293335737	0.710848219157093	0.477178296451734	0.935318146522769
Gls	1514.28805818652	-0.00782859892959984	0.00477378561218658	-1.63991422438722	0.101023002855976	0.623028291983877
Nab1	1558.16621137501	-0.00068729628723317	0.00464578431291685	-0.147939775275889	0.882390297433294	0.991237894840908
Tmem194b	100.237597794942	0.0065822261494391	0.0107240373020713	0.613782474270932	0.539359079919002	0.947939113965855
Mfsd6	3359.20258413918	-0.00138868844340196	0.00803679701484729	-0.172791280013229	0.862815491487439	0.98925529157635
Inpp1	198.012832974173	0.00629620923175752	0.00731295174473237	0.86096687788112	0.389256285741341	0.904969107077811
Hibch	408.660670166747	0.00226786544007242	0.00723108963179494	0.313627068056337	0.753804298741994	0.98313209090368
1700019A02Rik	1.85991404549821	-0.0251574551874586	0.0712431476084948	-0.353121051384581	0.723997691494692	0.980039332446995
Pms1	99.2022870590908	-0.00727634587936819	0.0115688132668333	-0.628962168507705	0.529373823951632	0.947692242600344
Ormdl1	92.6580648435224	-0.0179412222216635	0.0117496049055469	-1.5269638737549	0.126769994887429	0.670842856649299
Osgepl1	67.431281634782	-0.00697567594299175	0.0105438032431997	-0.661590109573676	0.508233947822445	0.942914706748957
Asnsd1	786.558401508397	-0.00612588626740949	0.00517349841174216	-1.18408971644907	0.236377550427683	0.804703650263096
Stk17b	852.102364117217	-0.0233056491433662	0.00701536694589116	-3.32208554778679	0.000893472958685794	0.0389291101385675
Hecw2	2.51044104200433	0.0551142239368015	0.0531203404167101	1.03753521729059	0.29948649172626	0.849746214843408
Ccdc150	1.65476117380454	0.0743876141278164	0.0649502467354785	1.14530148639424	0.252084290468967	0.816185379945568
Gtf3c3	368.366021947743	0.00146401940604665	0.00547924926671493	0.267193430118283	0.789320234333584	0.98610916571764
Pgap1	550.203739477151	-0.0292855289579806	0.0126281030101513	-2.31907586867474	0.0203909229518246	0.30476087882579
